Respondent,Age,Country,EdLevel,YearsCodePro
7153,32.0,Czech Republic,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",12.0
7154,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7161,28.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
7165,26.0,Czech Republic,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
7169,32.0,Uruguay,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7170,16.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0.5
7171,47.0,United States,Some college/university study without earning a degree,25.0
7174,35.0,Switzerland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11.0
7175,28.0,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
7179,32.0,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
7180,35.0,Turkey,Associate degree,4.0
7185,22.0,Hungary,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7186,34.0,Austria,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",15.0
7187,25.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1.0
7188,24.0,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
7190,34.0,South Korea,Associate degree,7.0
7191,27.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7.0
7192,31.0,Kenya,Some college/university study without earning a degree,6.0
7194,34.0,Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7.0
7195,28.0,Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7198,43.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
7199,28.0,Norway,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
7203,27.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
7205,34.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11.0
7206,21.0,Brazil,Some college/university study without earning a degree,3.0
7207,31.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",17.0
7210,22.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7212,23.0,Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7213,35.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",13.0
7215,35.0,Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7217,31.0,Israel,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10.0
7218,29.0,Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
7219,34.0,Singapore,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7223,31.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
7225,25.0,Egypt,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7228,22.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7231,34.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11.0
7238,26.0,Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
7242,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7245,22.0,United Kingdom,Some college/university study without earning a degree,4.0
7246,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7247,22.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",0.5
7249,48.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",23.0
7252,26.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
7259,35.0,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",12.0
7264,31.0,Switzerland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
7267,25.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7270,30.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
7271,22.0,Greece,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7275,38.0,Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
7278,37.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",14.0
7280,28.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0
7281,27.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
7285,32.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7287,29.0,United States,Some college/university study without earning a degree,7.0
7288,27.0,Bangladesh,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7289,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7290,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7291,31.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
7295,20.0,Spain,Some college/university study without earning a degree,1.0
7296,25.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7298,23.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5.0
7299,25.0,Nigeria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7300,36.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11.0
7302,26.0,Philippines,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7304,21.0,United Kingdom,Some college/university study without earning a degree,3.0
7306,26.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
7307,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",12.0
7310,46.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24.0
7313,61.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",39.0
7315,30.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
7319,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7323,32.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
7326,37.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",9.0
7327,37.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15.0
7328,20.0,Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7329,49.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",29.0
7331,28.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7332,21.0,Ukraine,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",0.5
7340,27.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7344,23.0,Belarus,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7347,23.0,Serbia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7349,24.0,Canada,Some college/university study without earning a degree,0.5
7354,29.0,United States,Some college/university study without earning a degree,7.0
7355,37.0,Latvia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15.0
7358,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7359,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7362,38.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15.0
7369,35.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7374,27.0,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
7379,32.0,New Zealand,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7380,23.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7382,31.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9.0
7387,25.0,The former Yugoslav Republic of Macedonia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7390,26.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7391,28.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7393,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7394,39.0,Australia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0
7395,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7396,33.0,Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10.0
7397,30.0,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7400,31.0,Argentina,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7402,33.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7405,25.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7406,35.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11.0
7408,23.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7409,30.0,United States,Some college/university study without earning a degree,11.0
7410,26.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
7412,30.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7413,30.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
7416,46.0,United States,Some college/university study without earning a degree,22.0
7417,18.0,Russian Federation,Some college/university study without earning a degree,0.5
7424,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7425,30.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10.0
7428,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7429,19.0,United Kingdom,Some college/university study without earning a degree,2.0
7430,50.0,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)",30.0
7431,22.0,Switzerland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7432,24.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
7433,35.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7434,33.0,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
7435,25.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
7439,72.0,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",5.0
7440,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7442,26.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
7444,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
7447,26.0,Bangladesh,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7450,32.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7451,39.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10.0
7452,28.0,Finland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
7455,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7456,25.0,United States,Some college/university study without earning a degree,5.0
7457,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7458,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7459,23.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7460,38.0,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)",17.0
7462,46.0,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",15.0
7463,22.0,United States,Some college/university study without earning a degree,1.0
7466,33.0,Italy,Some college/university study without earning a degree,21.0
7472,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7474,36.0,Cyprus,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",16.0
7475,25.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
7476,49.0,South Africa,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
7477,39.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15.0
7479,29.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
7484,31.0,Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",13.0
7486,21.0,Colombia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7487,21.0,Hungary,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0.5
7490,28.0,United States,Some college/university study without earning a degree,5.0
7491,27.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4.0
7493,26.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7494,36.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7497,37.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",12.0
7498,26.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7499,35.0,United States,Some college/university study without earning a degree,18.0
7503,34.0,South Africa,Some college/university study without earning a degree,7.0
7508,18.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4.0
7510,28.0,Belarus,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
7513,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9.0
7515,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7524,30.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
7525,21.0,Guatemala,Some college/university study without earning a degree,4.0
7526,22.0,Latvia,"Professional degree (JD, MD, etc.)",2.0
7530,23.0,Croatia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7531,28.0,Germany,Some college/university study without earning a degree,8.0
7534,23.0,Slovenia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7535,32.0,United Kingdom,Some college/university study without earning a degree,1.0
7536,32.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
7537,32.0,Germany,Some college/university study without earning a degree,8.0
7541,37.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0
7543,33.0,Greece,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
7545,25.0,Germany,Associate degree,5.0
7547,22.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7552,34.0,Costa Rica,"Bachelor’s degree (BA, BS, B.Eng., etc.)",13.0
7555,37.0,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",14.0
7556,29.0,Turkey,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
7561,31.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
7562,27.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6.0
7563,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7565,33.0,United Kingdom,Some college/university study without earning a degree,2.0
7571,23.0,Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7575,26.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7578,24.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7579,37.0,Slovenia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7580,18.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1.0
7586,36.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",16.0
7587,25.0,United States,Associate degree,4.0
7588,41.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",19.0
7590,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7591,29.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
7593,36.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",16.0
7600,48.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0
7601,21.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2.0
7602,22.0,Poland,Some college/university study without earning a degree,1.0
7605,33.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7607,25.0,Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7608,56.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",30.0
7611,26.0,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5.0
7612,30.0,Argentina,"Other doctoral degree (Ph.D, Ed.D., etc.)",9.0
7615,28.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
7620,29.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7625,31.0,United States,Associate degree,1.0
7626,24.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0
7629,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
7630,25.0,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1.0
7631,29.0,Slovakia,Some college/university study without earning a degree,5.0
7632,41.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9.0
7633,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7634,47.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",21.0
7636,32.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",0.5
7644,23.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
7646,30.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
7647,23.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7650,25.0,Germany,Some college/university study without earning a degree,6.0
7651,27.0,New Zealand,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
7656,27.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7657,35.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7658,31.0,Italy,Some college/university study without earning a degree,6.0
7665,44.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
7667,31.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",18.0
7668,25.0,Germany,"Other doctoral degree (Ph.D, Ed.D., etc.)",1.0
7670,36.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7680,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7684,29.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
7685,27.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0
7686,25.0,Other Country (Not Listed Above),"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7688,32.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
7689,35.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
7691,38.0,Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",16.0
7692,22.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7694,20.0,United States,Some college/university study without earning a degree,0.5
7695,31.0,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20.0
7696,32.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",12.0
7698,32.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",11.0
7700,44.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",17.0
7702,24.0,Luxembourg,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
7705,28.0,Republic of Moldova,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7706,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7710,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7711,35.0,Japan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11.0
7715,24.0,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
7716,33.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7717,44.0,New Zealand,"Bachelor’s degree (BA, BS, B.Eng., etc.)",19.0
7718,29.0,Belarus,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7.0
7724,45.0,Sweden,Some college/university study without earning a degree,20.0
7725,31.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",16.0
7727,33.0,Russian Federation,Associate degree,7.0
7728,23.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7729,18.0,Czech Republic,"Other doctoral degree (Ph.D, Ed.D., etc.)",2.0
7732,21.0,India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.0
7735,26.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7741,31.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7742,42.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7743,22.0,Romania,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7746,33.0,Serbia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
7747,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7748,34.0,United Arab Emirates,"Bachelor’s degree (BA, BS, B.Eng., etc.)",18.0
7749,26.0,Philippines,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7750,31.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7751,27.0,Iran,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
7752,28.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7753,33.0,Argentina,Some college/university study without earning a degree,5.0
7754,39.0,Brazil,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",18.0
7757,26.0,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
7762,19.0,Serbia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.0
7767,26.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10.0
7768,40.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",16.0
7778,24.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
7779,24.0,Bulgaria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",0.5
7782,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7785,27.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
7787,42.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",27.0
7788,25.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7789,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7790,26.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7792,33.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7793,48.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",27.0
7794,66.0,United Kingdom,Some college/university study without earning a degree,43.0
7795,35.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11.0
7796,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7797,49.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",23.0
7798,29.0,Bulgaria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7799,54.0,United States,Some college/university study without earning a degree,3.0
7803,34.0,Belarus,"Bachelor’s degree (BA, BS, B.Eng., etc.)",14.0
7804,47.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15.0
7808,28.0,United States,Some college/university study without earning a degree,2.0
7809,40.0,Switzerland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",7.0
7812,49.0,Denmark,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0
7815,28.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
7817,54.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0
7818,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7820,35.0,Canada,Associate degree,0.5
7822,40.0,Germany,Some college/university study without earning a degree,7.0
7823,24.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5.0
7825,24.0,Ukraine,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7828,32.0,Iran,,13.0
7830,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
7831,28.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",8.0
7832,37.0,United States,"Professional degree (JD, MD, etc.)",15.0
7833,25.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)",0.5
7834,31.0,Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7840,39.0,Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)",15.0
7843,31.0,Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3.0
7845,22.0,Dominican Republic,Associate degree,3.0
7846,28.0,Finland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2.0
7847,33.0,Singapore,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7848,26.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7850,24.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7852,35.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",5.0
7854,29.0,Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7.0
7855,28.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7857,24.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7860,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",11.0
7862,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",4.0
7863,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10.0
7865,30.0,Israel,"Bachelor’s degree (BA, BS, B.Eng., etc.)",3.0
7866,24.0,Uganda,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7867,24.0,Serbia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1.0
7868,28.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",6.0
7873,25.0,Australia,Some college/university study without earning a degree,7.0
7877,35.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10.0
7878,29.0,Austria,Some college/university study without earning a degree,10.0
7879,50.0,Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)",9.0
7881,28.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1.0
7884,29.0,Hungary,"Other doctoral degree (Ph.D, Ed.D., etc.)",5.0
7888,30.0,Finland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7889,48.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",11.0
7892,29.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4.0
7893,25.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2.0
7894,30.0,China,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
7896,19.0,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1.0
7901,27.0,United States,Some college/university study without earning a degree,3.0
7902,30.0,Senegal,"Professional degree (JD, MD, etc.)",3.0
7904,31.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",6.0
7907,53.0,United States,Some college/university study without earning a degree,25.0
7909,28.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8.0
7910,38.0,South Africa,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20.0
